Timestamp,wind_speed (m s-1),wind_dir (deg),(z-d)/L (-),Fc (µmol m-2 s-1),FcEP (µmol m-2 s-1),FCcorL (µmol m-2 s-1),FCcorG (µmol m-2 s-1),CF_L (-),CF_G (-)
2024-05-04 12:30:00,2.20757,229.293,-0.021406,-13.3586,-15.3466,-14.620697166046632,-14.337404850037055,1.094478251167535,1.0732715142333071
2024-05-04 13:00:00,2.23826,213.818,-0.000470834,-7.2731,-8.35927,-7.9602497685666,-7.806011050170267,1.094478251167535,1.0732715142333071
2024-05-04 13:30:00,2.33687,187.779,0.00293863,-6.69011,-7.85025,-7.485011655067191,-7.305185694017033,1.118817426778811,1.0919380539358894
2024-05-04 14:00:00,1.4518,178.239,-0.0621238,-15.2314,-17.322,-16.419423826462218,-16.149379882867063,1.0779983341296413,1.0602689104656868
2024-05-04 14:30:00,1.40632,171.08,-0.0111341,-7.58964,-8.62693,-8.18161927664369,-8.047059333626796,1.0779983341296413,1.0602689104656868
2024-05-04 15:00:00,1.21741,165.582,-0.099334,-15.1052,-17.1364,-16.30620167072768,-16.04143091562813,1.079509153849514,1.061980703044523
2024-05-04 15:30:00,1.76637,121.548,-0.00774811,-7.41838,-8.4696,-8.101129763058053,-7.949126721414971,1.0920348867351164,1.0715448280372495
2024-05-04 16:00:00,1.56899,107.539,-0.00556396,-9.17613,-10.4501,-9.891852853757026,-9.729165357391503,1.0779983341296413,1.0602689104656868
2024-05-04 16:30:00,1.54158,129.099,-0.00119716,-7.16876,-8.1613,-7.727911337775208,-7.600813354589997,1.0779983341296413,1.0602689104656868
2024-05-04 17:00:00,1.53179,95.9287,0.0159779,-3.63225,-4.22834,-4.059511391991972,-3.949416205800968,1.117629951680631,1.0873194867646687
2024-05-04 17:30:00,1.53606,64.5397,0.0254747,-0.79033,-0.926676,-0.8832964797117531,-0.8593412099747206,1.117629951680631,1.0873194867646687
2024-05-04 18:00:00,2.03345,68.6268,0.00545732,-0.797524,-0.932035,-0.8974792903037361,-0.8742873532334932,1.1253320154675421,1.0962520917658818
2024-05-04 18:30:00,2.37752,81.0281,0.00421352,-2.11115,-2.48128,-2.3619914105440865,-2.3052450225667527,1.118817426778811,1.0919380539358894
2024-05-04 19:00:00,1.94341,92.4991,0.0074544,1.89409,2.21358,2.131480117176917,2.076400124492839,1.1253320154675421,1.0962520917658818
2024-05-04 19:30:00,1.72814,103.964,0.0231308,1.88029,2.21102,2.107054682238248,2.0504863525366654,1.1206009084972253,1.090516012177199
2024-05-04 20:00:00,0.721291,224.417,0.010801,1.60982,1.84594,1.7700640617136587,1.7254191239855672,1.0995416019888302,1.0718087264325
2024-05-04 20:30:00,0.672503,184.404,-0.0172358,2.50632,2.83565,2.6623557505866904,2.6260991730146483,1.0622569147541776,1.0477908539271314
2024-05-04 21:00:00,0.673032,237.639,0.848287,1.86394,2.92397,2.0494795736110603,1.997787157546594,1.0995416019888302,1.0718087264325
2024-05-04 21:30:00,0.695749,246.65,0.143607,1.39073,1.71391,1.529165492133926,1.4905965501114709,1.0995416019888302,1.0718087264325
2024-05-04 22:00:00,0.705231,222.194,1.59641,1.0561,1.98622,1.1612258858604037,1.1319371959853632,1.0995416019888302,1.0718087264325
2024-05-04 22:30:00,0.812141,240.949,0.298071,0.76111,1.01461,0.8368721086897185,0.81576433977504,1.0995416019888302,1.0718087264325
2024-05-04 23:00:00,1.02686,264.482,0.172163,2.23463,2.80676,2.4570686500523,2.3950959343478577,1.0995416019888302,1.0718087264325
2024-05-04 23:30:00,1.46524,260.551,-0.0470464,3.91066,4.4481,4.215684965347423,4.146351217401743,1.0779983341296413,1.0602689104656868
2024-05-05 00:00:00,1.75866,257.569,0.0141938,2.66817,3.12231,2.9899537260250413,2.9096821082108373,1.1206009084972253,1.090516012177199
2024-05-05 00:30:00,1.90674,260.806,-0.00802408,3.0768,3.51949,3.3599729395066062,3.296929126905009,1.0920348867351164,1.0715448280372495
2024-05-05 01:00:00,1.96944,267.99,-0.0117428,2.09145,2.39446,2.2839363638621593,2.2410824305985053,1.0920348867351164,1.0715448280372495
2024-05-05 01:30:00,1.90395,267.741,-0.00222344,2.50241,2.86235,2.732719020914822,2.6814444931286934,1.0920348867351164,1.0715448280372495
2024-05-05 02:00:00,1.55057,236.807,-0.00754465,2.66277,3.03177,2.870461624170385,2.823252246720717,1.0779983341296413,1.0602689104656868
2024-05-05 02:30:00,1.8826,266.417,-0.0102981,2.83662,3.24367,3.0976880004105656,3.0395654901070226,1.0920348867351164,1.0715448280372495
2024-05-05 03:00:00,2.31172,252.276,-0.0103691,3.353,3.85795,3.690796727788867,3.6187367890950313,1.1007446250488717,1.079253441424107
2024-05-05 03:30:00,1.76748,240.842,0.00461881,2.91002,3.38484,3.2609710557450953,3.1734234057558925,1.1206009084972253,1.090516012177199
2024-05-05 04:00:00,1.95652,246.716,-0.0143014,3.56379,4.07938,3.8917830089977405,3.8187607427108694,1.0920348867351164,1.0715448280372495
2024-05-05 04:30:00,2.07515,254.051,-0.00185007,1.94733,2.23282,2.131310332846076,2.090013817811946,1.094478251167535,1.0732715142333071
2024-05-05 05:00:00,1.96312,240.074,-0.00247831,2.92738,3.35121,3.1968010867306447,3.1368188986996834,1.0920348867351164,1.0715448280372495
2024-05-05 05:30:00,2.07441,225.909,-6.87157e-05,2.68838,3.08247,2.942373440873778,2.8853616734345384,1.094478251167535,1.0732715142333071
