Nat. freq.,cosp(wt)_wd1_ws1,cosp(wx)_wd1_ws1,cosp(wt)_wd1_ws2,cosp(wx)_wd1_ws2,cosp(wt)_wd1_ws3,cosp(wx)_wd1_ws3,cosp(wt)_wd1_ws4,cosp(wx)_wd1_ws4,cosp(wt)_wd1_ws5,cosp(wx)_wd1_ws5
0.0140381,13.286323952018671,13.535241077555606,8.930244106514891,9.699283927905723,7.237571958930815,8.825064584654145,5.883852054112261,7.0779186716269775,4.445728038783739,4.719810417720347
0.0170898,11.346922098025333,10.893965320932173,8.33689676493191,8.570644044010658,6.978416278764722,7.186136831253147,5.743045449624923,6.59980145930126,4.404406508804471,4.504919503641549
0.020752,10.113924762271909,10.47861426007132,6.885433417562162,7.9833187263075045,7.14621643897777,7.453413742249743,5.973843811239077,6.894923521427654,4.836970251863274,4.923860667044141
0.0253296,8.362505083808403,9.13107778712126,7.462311728011234,8.187429348140776,6.194112861451292,6.609800607951435,5.174541346882698,5.567549962955067,4.1702796456517275,4.5998914013479615
0.0308228,7.170750477325227,7.560373601278923,6.3890309419217814,6.497988022124314,5.338826709989576,5.94523966734852,4.778972870732055,5.318635579154608,3.5235610219274904,4.048646530868924
0.0375366,6.45511469694467,6.9641269371093815,5.560937413972852,5.852750965058103,5.272572924381358,5.532955335592462,3.9872670384815527,4.454759932084063,4.205216084101916,4.4260064399368435
0.0457764,4.82780485231837,4.951740461970214,4.9208167308919,5.33348943633255,4.2899679884176125,4.63253033131337,3.828860254228525,4.066170172658109,3.4192422978871213,3.7055862618802116
0.0558472,4.100701165412053,4.2859654147089445,4.014350372534344,4.361081740296142,3.7606177734365676,3.9201326715275493,3.4097962834305036,3.7088797386738577,2.8617257781052587,3.1771167392158133
0.0680542,3.627187686432285,3.820460582031185,3.6342710571133012,3.747480577368235,3.4762980278954134,3.6218796011120555,3.278338120571545,3.4925120804447047,2.728104262852256,2.9839388433532883
0.0827026,2.659761654006847,2.6325530424678303,2.856289269724692,2.9981438133948224,2.979857092360659,3.073947481195674,2.4566163377370644,2.6301421070800677,2.430102497281424,2.625469062742082
